date,rainfall(mm)
Jan-15,11.3
Feb-15,22.7
Mar-15,9.6
Apr-15,80.5
May-15,28.9
Jun-15,99
Jul-15,226
Aug-15,72.9
Sep-15,26
Oct-15,81.5
Nov-15,104.6
Dec-15,29.1
Jan-16,1
Feb-16,47.6
Mar-16,40.5
Apr-16,76.8
May-16,160.5
Jun-16,54.4
Jul-16,358.2
Aug-16,67.1
Sep-16,33
Oct-16,74.8
Nov-16,16.7
Dec-16,61.1
Jan-17,14.9
Feb-17,11.1
Mar-17,7.9
Apr-17,61.6
May-17,16.1
Jun-17,66.6
Jul-17,621
Aug-17,297
Sep-17,35
Oct-17,26.5
Nov-17,40.7
Dec-17,34.8
Jan-18,8.5
Feb-18,29.6
Mar-18,49.5
Apr-18,130.3
May-18,222
Jun-18,171.5
Jul-18,185.6
Aug-18,202.6
Sep-18,68.5
Oct-18,120.5
Nov-18,79.1
Dec-18,16.4
Jan-19,0
Feb-19,23.8
Mar-19,26.8
Apr-19,47.3
May-19,37.8
Jun-19,74
Jul-19,194.4
Aug-19,190.5
Sep-19,139.8
Oct-19,55.5
Nov-19,78.8
Dec-19,22.6
Jan-20,60.5
Feb-20,53.1
Mar-20,16.3
Apr-20,16.9
May-20,112.4
Jun-20,139.6
Jul-20,270.4
Aug-20,675.7
Sep-20,181.5
Oct-20,0
Nov-20,120.1
Dec-20,4.6
Jan-21,18.9
Feb-21,7.1
Mar-21,110.9
Apr-21,124.1
May-21,183.1
Jun-21,104.6
Jul-21,168.3
Aug-21,211.2
Sep-21,131
Oct-21,57
Nov-21,62.4
Dec-21,7.9
Jan-22,5.5
Feb-22,4.7
Mar-22,102.6
Apr-22,20.4
May-22,7.5
Jun-22,393.8
Jul-22,252.3
Aug-22,564.8
Sep-22,201.5
Oct-22,124.1
Nov-22,84.5
Dec-22,13.6
Jan-23,47.9
Feb-23,1
Mar-23,10.5
Apr-23,96.9
May-23,155.6
Jun-23,195.6
Jul-23,459.9
Aug-23,298.1
Sep-23,134.5
Oct-23,31
Nov-23,81.9
Dec-23,85.9
Jan-24,18.9
Feb-24,74.7
Mar-24,29.9
Apr-24,33.2
May-24,125.1
Jun-24,115.9
Jul-24,557.3
Aug-24,72.8
Sep-24,143.9
Oct-24,74
Nov-24,60
Dec-24,5.7
Jan-25,19.5
Feb-25,5.2
Mar-25,38.2
Apr-25,94.6
May-25,123.6
Jun-25,98.1
Jul-25,293.9
Aug-25,290.3
Sep-25,370.7
Oct-25,186.3
Nov-25,20.8
Dec-25,4.6
